,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,Date,Status,TT,AN,AP,AR,AS,BR,CH,CT,DN,DD,DL,GA,GJ,HR,HP,JK,JH,KA,KL,LA,LD,MP,MH,MN,ML,MZ,NL,OR,PY,PB,RJ,SK,TN,TG,TR,UP,UT,WB
,2,14-Mar-20,Confirmed,81,0,1,0,0,0,0,0,0,0,7,0,0,14,0,2,0,6,19,0,0,0,14,0,0,0,0,0,0,1,3,0,1,1,0,12,0,0
,3,14-Mar-20,Recovered,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0
,4,14-Mar-20,Deceased,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,5,15-Mar-20,Confirmed,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,18,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0
,6,15-Mar-20,Recovered,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
,7,15-Mar-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,8,16-Mar-20,Confirmed,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,,6,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
,9,16-Mar-20,Recovered,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,10,16-Mar-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,11,17-Mar-20,Confirmed,11,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1
,12,17-Mar-20,Recovered,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,13,17-Mar-20,Deceased,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,14,18-Mar-20,Confirmed,37,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,5,0,8,0,0,3,0,0,0,0,1,0,1,3,0,1,8,0,2,1,0
,15,18-Mar-20,Recovered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,16,18-Mar-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,17,19-Mar-20,Confirmed,27,0,2,0,0,0,1,1,0,0,4,0,2,1,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,2,0,1,3,0,3,1,0
,18,19-Mar-20,Recovered,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
,19,19-Mar-20,Deceased,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,20,20-Mar-20,Confirmed,58,0,0,0,0,0,4,0,0,0,6,0,5,2,2,0,0,0,12,2,0,4,4,0,0,0,0,0,0,1,8,0,0,3,0,4,0,1
,21,20-Mar-20,Recovered,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,22,20-Mar-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,23,21-Mar-20,Confirmed,78,0,2,0,0,0,0,0,0,0,7,0,7,2,0,0,0,5,12,3,0,0,12,0,0,0,0,0,0,10,7,0,3,2,0,4,0,2
,24,21-Mar-20,Recovered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,25,21-Mar-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,26,22-Mar-20,Confirmed,67,0,1,0,0,2,1,0,0,0,0,0,4,0,0,0,0,6,15,0,0,2,10,0,0,0,0,0,0,8,4,0,3,6,0,2,0,3
,27,22-Mar-20,Recovered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,28,22-Mar-20,Deceased,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,29,23-Mar-20,Confirmed,102,0,1,0,0,1,1,0,0,0,3,0,12,7,1,0,0,7,28,0,0,0,23,0,0,0,0,0,0,2,4,0,3,6,0,2,1,0
,30,23-Mar-20,Recovered,12,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,31,23-Mar-20,Deceased,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,32,24-Mar-20,Confirmed,64,0,1,0,0,0,0,0,0,0,0,0,4,2,0,2,0,8,14,0,0,1,10,1,0,0,0,0,0,6,0,0,6,4,0,3,0,2
,33,24-Mar-20,Recovered,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
,34,24-Mar-20,Deceased,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,35,25-Mar-20,Confirmed,90,0,2,0,0,1,0,2,0,0,5,3,4,1,0,5,0,10,9,0,0,8,15,0,0,1,0,0,0,2,6,0,8,4,0,3,1,0
,36,25-Mar-20,Recovered,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,37,25-Mar-20,Deceased,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,38,26-Mar-20,Confirmed,65,1,1,0,0,3,0,3,0,0,1,0,5,1,0,3,0,4,19,0,0,5,3,0,0,0,0,1,0,2,2,0,3,3,0,4,0,1
,39,26-Mar-20,Recovered,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,40,26-Mar-20,Deceased,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,41,27-Mar-20,Confirmed,164,5,2,0,0,2,1,0,0,0,4,0,4,1,0,6,0,9,39,0,0,9,31,0,0,0,0,0,0,5,10,0,9,15,0,7,0,5
,42,27-Mar-20,Recovered,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,3,0,0,18,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
,43,27-Mar-20,Deceased,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,44,28-Mar-20,Confirmed,143,3,6,0,0,2,0,1,0,0,9,0,8,2,0,13,0,17,6,0,0,10,30,0,0,0,0,0,0,0,4,0,4,8,0,16,1,3
,45,28-Mar-20,Recovered,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,46,28-Mar-20,Deceased,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,47,29-Mar-20,Confirmed,110,0,2,0,0,4,0,0,0,0,23,2,8,0,0,5,0,2,20,0,0,0,17,0,0,0,0,0,0,0,5,0,8,3,0,7,1,3
,48,29-Mar-20,Recovered,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,49,29-Mar-20,Deceased,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,50,30-Mar-20,Confirmed,187,1,2,0,0,0,5,1,0,0,25,0,7,1,0,11,0,5,32,0,0,8,17,0,0,0,0,0,0,3,20,0,17,7,0,24,0,1
,51,30-Mar-20,Recovered,49,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,1,4,0,0,0,14,0,0,0,0,0,0,0,0,0,2,13,0,6,1,0
,52,30-Mar-20,Deceased,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,5,0,0,0,1
,53,31-Mar-20,Confirmed,309,0,21,0,1,6,2,1,0,0,23,0,4,7,0,6,1,13,7,0,0,19,82,0,0,0,0,1,0,1,14,0,57,20,0,8,0,15
,54,31-Mar-20,Recovered,15,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3
,55,31-Mar-20,Deceased,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
,56,01-Apr-20,Confirmed,424,0,67,0,15,3,2,0,0,0,32,0,13,0,0,7,0,9,24,0,0,32,33,0,0,0,0,1,2,4,27,0,110,30,0,13,0,0
,57,01-Apr-20,Recovered,16,0,1,0,0,0,0,0,0,0,0,0,0,10,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,58,01-Apr-20,Deceased,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0
,59,02-Apr-20,Confirmed,486,0,38,1,0,5,1,0,0,0,141,0,1,6,3,8,1,14,21,0,0,9,88,1,0,0,0,0,2,1,13,0,75,27,0,11,3,16
,60,02-Apr-20,Recovered,22,0,0,0,0,3,0,1,0,0,2,0,5,0,0,1,0,2,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
,61,02-Apr-20,Deceased,14,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,62,03-Apr-20,Confirmed,560,0,15,0,7,2,0,0,0,0,93,1,7,9,0,5,0,4,9,1,0,47,64,0,0,0,0,15,0,6,46,0,102,75,0,46,6,0
,63,03-Apr-20,Recovered,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,8,0,0,0,0,1,0,0,0,0,0,15,0,0,0,0
,64,03-Apr-20,Deceased,14,0,1,0,0,0,0,0,0,0,2,0,2,0,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
,65,04-Apr-20,Confirmed,579,0,28,0,3,1,0,1,0,0,59,1,13,26,7,17,0,16,11,0,0,25,148,0,0,0,0,1,0,12,27,0,74,43,0,60,6,0
,66,04-Apr-20,Recovered,56,0,0,0,0,0,3,0,0,0,8,0,3,1,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,2,22,0,2,1,0,4,0,0
,67,04-Apr-20,Deceased,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
,68,05-Apr-20,Confirmed,609,0,64,0,0,0,0,0,0,0,58,0,20,6,1,14,1,7,8,0,0,14,112,0,0,0,0,18,0,3,60,0,86,62,0,44,4,27
,69,05-Apr-20,Recovered,43,0,3,0,0,0,2,5,0,0,0,0,8,0,0,1,0,1,6,0,0,3,4,0,0,0,0,0,0,1,0,0,0,0,0,0,2,7
,70,05-Apr-20,Deceased,22,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,13,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0
,71,06-Apr-20,Confirmed,485,0,47,0,0,0,0,0,1,0,22,0,18,20,4,3,1,12,13,0,0,63,121,0,0,0,0,1,0,11,35,0,50,30,1,27,5,0
,72,06-Apr-20,Recovered,65,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,8,3,7,0,8,14,1,0,0,0,0,0,0,0,0,5,12,0,0,0,0
,73,06-Apr-20,Deceased,16,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
,74,07-Apr-20,Confirmed,572,0,11,0,2,6,0,0,0,0,51,0,29,33,9,16,0,12,8,0,0,34,150,0,0,0,0,2,0,20,42,0,69,40,0,27,0,11
,75,07-Apr-20,Recovered,75,0,0,0,0,6,2,1,0,0,4,0,3,2,1,0,0,5,12,0,0,10,9,0,0,0,0,0,1,10,0,0,6,0,0,0,0,3
,76,07-Apr-20,Deceased,27,0,1,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,6,12,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
,77,08-Apr-20,Confirmed,565,1,34,0,0,1,0,0,0,0,93,0,11,24,0,33,0,6,9,0,0,51,117,0,0,0,0,0,0,7,40,0,48,49,0,29,4,8
,78,08-Apr-20,Recovered,96,0,1,0,0,0,0,0,0,0,1,0,0,1,0,2,0,3,13,0,0,4,38,0,0,0,0,0,0,0,20,0,2,0,0,10,1,0
,79,08-Apr-20,Deceased,20,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,3,8,0,0,0,0,0,0,1,1,0,1,0,0,1,0,2
,80,09-Apr-20,Confirmed,813,0,15,0,1,19,0,8,0,0,51,0,76,3,1,26,9,16,12,0,0,70,229,0,0,0,0,6,0,24,80,0,96,18,0,49,0,4
,81,09-Apr-20,Recovered,70,10,4,0,0,0,0,0,0,0,4,0,1,0,0,0,0,2,13,0,0,0,8,0,0,0,0,0,0,4,15,0,6,0,0,0,0,3
,82,09-Apr-20,Deceased,46,0,2,0,0,0,0,0,0,0,3,0,2,0,0,1,1,1,0,0,0,9,25,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
,83,10-Apr-20,Confirmed,871,0,18,0,0,2,1,0,0,0,183,0,116,6,0,23,1,10,7,1,0,40,210,0,0,0,0,2,2,21,98,0,77,16,1,23,0,13
,84,10-Apr-20,Recovered,151,0,0,0,0,0,0,0,0,0,2,1,7,4,0,0,0,4,27,1,0,12,63,0,0,0,0,10,0,2,0,0,17,0,0,1,0,0
,85,10-Apr-20,Deceased,22,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,4,12,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
,86,11-Apr-20,Confirmed,854,0,24,0,0,4,0,7,0,0,166,0,90,3,4,17,3,8,10,0,0,78,187,0,0,0,0,4,0,7,139,0,58,16,0,19,0,10
,87,11-Apr-20,Recovered,186,0,0,0,0,0,0,0,0,0,0,4,11,0,6,0,0,5,19,0,0,1,20,0,0,0,0,0,0,0,56,0,0,51,0,13,0,0
,88,11-Apr-20,Deceased,40,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,4,17,0,0,0,0,0,0,1,6,0,1,2,0,1,0,0
,89,12-Apr-20,Confirmed,758,0,15,0,0,0,2,6,0,0,85,0,48,16,0,21,2,17,2,0,0,33,221,0,0,0,1,0,0,12,104,0,106,28,0,31,0,8
,90,12-Apr-20,Recovered,114,0,2,0,0,11,0,1,0,0,1,0,0,8,4,0,0,15,36,0,0,3,9,0,0,0,0,0,0,3,5,0,6,7,0,0,0,3
,91,12-Apr-20,Deceased,42,0,1,0,0,0,0,0,0,0,5,0,2,1,0,0,1,0,0,0,0,3,22,0,0,0,0,0,0,0,2,0,1,2,0,0,0,2
,92,13-Apr-20,Confirmed,1243,0,19,0,2,2,0,0,0,0,356,0,56,1,0,25,5,15,3,2,0,52,352,0,1,0,0,1,0,6,93,0,98,61,0,75,0,18
,93,13-Apr-20,Recovered,112,0,0,0,0,2,0,0,0,0,3,0,10,7,0,10,0,6,19,1,0,10,12,0,0,0,0,6,0,2,0,0,8,0,0,4,2,10
,94,13-Apr-20,Deceased,27,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,2,0,0,0,7,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,95,14-Apr-20,Confirmed,1034,0,44,0,1,0,0,2,0,0,51,0,78,2,1,8,3,13,8,0,0,127,350,0,0,0,0,5,0,8,108,0,31,52,0,102,2,38
,96,14-Apr-20,Recovered,167,0,4,0,0,1,0,3,0,0,0,0,5,4,1,14,0,11,13,0,0,13,30,0,0,0,0,0,0,2,26,0,23,7,0,1,2,7
,97,14-Apr-20,Deceased,35,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,3,18,0,0,0,0,0,0,1,0,0,1,1,0,3,0,0